up,down,left,right,angle,distance,size,decision
0,0,1,0,-0.5577165560081818,0.5206833117271102,3,3
0,0,1,0,-0.5000009003144062,0.4714045207910317,3,3
0,0,1,0,-0.4295546678332974,0.4268749491621899,3,3
0,0,1,0,-0.3440435588943103,0.38873012632302006,3,3
0,0,1,0,-0.2422408385921465,0.35901098714230023,3,3
0,0,1,0,-0.12567215878319915,0.339934634239519,3,3
0,0,1,0,-0.001273238483676822,0.3333333333333333,3,1
1,0,0,0,-0.0014235236039665563,0.26666666666666666,3,1
1,0,0,0,-0.0016437429011854003,0.2,3,1
1,0,0,0,-0.0020131642900954225,0.13333333333333333,3,1
1,0,0,0,-0.0028470383110441983,0.06666666666666667,3,1
1,0,0,0,0.0,0.0,3,1
1,0,0,0,0.29516581178294166,0.14907119849998599,4,-3
0,0,0,1,0.20483209364521207,0.21081851067789198,4,-3
0,0,0,1,0.15595787474826814,0.2748737083745107,4,-3
0,0,0,1,0.12566566667568332,0.339934634239519,4,-3
0,0,0,1,-0.8948632610099455,0.4055175020198813,4,1
1,0,0,0,0.0,0.4,4,1
1,0,0,0,-0.1051367389900545,0.4055175020198813,4,3
0,0,1,0,-0.12566566667568332,0.339934634239519,4,3
0,0,1,0,-0.15595787474826814,0.2748737083745107,4,3
0,0,1,0,-0.20483209364521207,0.21081851067789198,4,3
0,0,1,0,-0.29516581178294166,0.14907119849998599,4,3
0,0,1,0,-0.4999954984661651,0.09428090415820635,4,3
0,0,1,0,-0.9971529616889558,0.06666666666666667,4,-1
0,1,0,0,-1.0,0.0,4,-1
0,1,0,0,0.2577617585662351,0.507718207057594,5,-1
0,1,0,0,0.3304982298608468,0.5374838498865699,5,-1
0,1,0,0,0.3948625579672264,0.5734883511361751,5,-1
0,1,0,0,-0.5488750958101684,0.6146362971528592,5,-3
0,0,0,1,-0.5000007502622705,0.565685424949238,5,-3
0,0,0,1,-0.44228510137494914,0.5206833117271102,5,-3
0,0,0,1,-0.3743354078672676,0.4807401700618652,5,-3
0,0,0,1,-0.2951691333258274,0.447213595499958,5,-3
0,0,0,1,-0.20483578442559952,0.42163702135578396,5,-3
0,0,0,1,-0.10514319280512281,0.4055175020198813,5,-3
0,0,0,1,-0.001162302559074154,0.4,5,1
1,0,0,0,-0.001273238483676822,0.3333333333333333,5,1
1,0,0,0,-0.0014235236039665563,0.26666666666666666,5,1
1,0,0,0,-0.0016437429011854003,0.2,5,1
1,0,0,0,-0.0020131642900954225,0.13333333333333333,5,1
1,0,0,0,-0.0028470383110441983,0.06666666666666667,5,1
1,0,0,0,0.0,0.0,5,1
1,1,0,0,-0.24223741031333948,0.35901098714230023,6,3
0,1,1,0,-0.29516652354011363,0.29814239699997197,6,3
0,1,1,0,-0.3743329065156123,0.2403700850309326,6,3
0,1,1,0,-0.49999774922114615,0.1885618083164127,6,3
